cty,municipality,repubican,democrat,blank ,tbc
SOM,Jackman/Twps,404,111,27,542
SOM,Lexington Twp,70,30,6,106
SOM,Mercer,315,168,23,506
SOM,Moose River,101,18,8,127
SOM,Moscow/Twps,207,65,22,294
SOM,Moxie Gore Twp,4,0,1,5
SOM,New Portland,326,165,26,517
SOM,Pleasant Ridge Plt,36,12,3,51
SOM,Ripley,200,89,29,318
SOM,Rockwood Strip Twp,148,62,21,231
SOM,Saint Albans,877,288,68,1233
SOM,Smithfield,362,246,33,641
SOM,Solon/Concord Twp,378,200,53,631
SOM,Starks,254,136,25,415
SOM,The Forks Plt,20,11,4,35
SOM,West Forks Plt,32,13,5,50
,STATE UOCAVA,38,107,3,148
HAN,Amherst,128,66,17,211
HAN,Aurora,51,18,7,76
HAN,Eastbrook,161,74,24,259
HAN,Fletchers Landing Twp,43,14,10,67
HAN,Franklin,526,394,59,979
HAN,Gouldsboro/T7 SD Twp,659,449,54,1162
HAN,Great Pond,24,18,2,44
HAN,Hancock,801,594,123,1518
HAN,Mariaville,194,130,18,342
HAN,Osborn,35,9,5,49
HAN,Sorrento,110,79,10,199
HAN,Sullivan,414,298,55,767
HAN,T22 MD Twp,1,0,1,2
HAN,T3 ND Twp,3,5,0,8
HAN,Waltham,179,60,18,257
HAN,Winter Harbor,190,122,20,332
WAS,Addison,484,210,62,756
WAS,Alexander,279,47,19,345
WAS,Baileyville,552,126,23,701
WAS,Baring Plt,95,33,7,135
WAS,Beals,195,77,19,291
WAS,Beddington,45,19,4,68
WAS,Calais,1061,355,92,1508
WAS,Cathance Twp,14,2,0,16
WAS,Centerville Twp,15,1,1,17
WAS,Charlotte,156,59,13,228
WAS,Cherryfield/T10 SD Twp,406,214,64,684
WAS,Columbia,163,57,24,244
WAS,Columbia Falls,221,91,32,344
WAS,Cooper,76,18,3,97
WAS,Crawford,60,10,5,75
WAS,Cutler,251,64,28,343
WAS,Danforth/Brookton Twp,312,78,38,428
WAS,Dayblock Twp,7,1,1,9
WAS,Deblois,33,3,7,43
WAS,Dennysville/Edmunds Twp,250,68,19,337
WAS,East Machias,621,188,46,855
WAS,Eastport,432,379,32,843
WAS,Grand Lake Stream Plt,79,19,11,109
WAS,Greenlaw Chopping Twp,10,3,2,15
WAS,Harrington,365,149,45,559
WAS,Indian Township,133,112,34,279
WAS,Jonesboro,240,94,22,356
WAS,Jonesport,500,190,87,777
WAS,Lubec,493,364,59,916
WAS,Machias,557,325,86,968
WAS,Machiasport,391,160,37,588
WAS,Marshfield,258,63,21,342
WAS,Meddybemps,89,11,5,105
WAS,Milbridge/T10 SD Twp,428,263,102,793
WAS,Northfield,98,31,6,135
WAS,Pembroke,323,144,39,506
WAS,Perry,361,121,33,515
WAS,Pleasant Point Voting District,103,112,37,252
WAS,Princeton/Big Lake Twp,389,70,36,495
WAS,Robbinston,286,61,23,370
WAS,Roque Bluffs,125,82,6,213
WAS,Sakom Twp,1,0,0,1
WAS,Steuben/T7 SD Twp,432,258,53,743
WAS,Talmadge,33,4,0,37
WAS,Topsfield/Codyville Twp,101,18,5,124
WAS,Vanceboro,55,24,9,88
WAS,Waite,38,10,3,51
