cty,municipality,democratic,independent,republican,tbc
YOR,Limington,207,987,1153,2347
YOR,Lyman,217,1443,1305,2965
YOR,Newfield,57,443,490,990
YOR,North Berwick,343,1407,1409,3159
YOR,Ogunquit,172,637,256,1065
YOR,Old Orchard Beach,712,3356,2006,6074
YOR,Parsonsfield,99,503,508,1110
YOR,Saco,1563,7005,3851,12419
YOR,Sanford,1361,5117,4110,10588
YOR,Shapleigh,136,802,893,1831
YOR,South Berwick,827,2216,1493,4536
YOR,Waterboro,415,2046,2105,4566
YOR,Wells,1039,4215,2942,8196
YOR,York,1361,5150,2758,9269
,YOR Total,16491,65791,46300,128582
,,,,,
,STATE UOCAVA,2411,3080,796,6287
,,,,,
,STATEWIDE TOTALS,88875,427570,284434,800879
